SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
257,815.58亿,-0.68,8.80,1.77亿,2032.70万,SH,601825,8.66,1.04,5.98,0.66,8.70,沪农商行,否,0.22,否,1,False,-0.06,6.81,839.07亿
258,1043.57亿,-1.23,8.97,3.23亿,3640.61万,SH,601800,8.83,0.95,7.54,0.50,8.86,中国交建,否,0.31,否,1,False,-0.11,6.69,1442.28亿
259,615.10亿,-1.00,7.05,3.03亿,4355.81万,SH,601077,6.88,0.77,5.13,0.60,6.96,渝农商行,否,0.49,否,1,False,-0.07,6.67,790.45亿
260,1403.26亿,0.00,11.38,7.90亿,6976.24万,SH,601009,11.24,1.49,5.85,0.77,11.35,南京银行,否,0.56,否,1,False,0.00,6.52,1403.26亿
261,1831.47亿,-0.04,28.00,7.94亿,2861.24万,SZ,002142,27.53,0.92,6.12,0.84,27.75,宁波银行,否,0.43,否,0,False,-0.01,6.35,1832.50亿
262,1172.16亿,-0.06,16.28,5.34亿,3298.91万,SH,600926,16.06,0.75,5.03,0.90,16.17,杭州银行,否,0.46,否,1,False,-0.01,6.29,1172.16亿
263,3179.51亿,-0.51,7.88,3.88亿,4990.15万,SH,601998,7.71,0.72,5.95,0.61,7.80,中信银行,否,0.12,否,1,False,-0.04,6.24,4340.32亿
264,2007.63亿,0.00,10.98,10.52亿,9677.36万,SH,600919,10.75,0.82,4.96,0.80,10.94,江苏银行,否,0.53,否,1,False,0.00,6.02,2007.63亿
265,766.24亿,0.84,18.18,5.66亿,3141.03万,SH,601838,17.79,1.11,5.80,0.93,18.11,成都银行,否,0.74,否,1,False,0.15,5.77,767.58亿
266,1364.06亿,-0.31,9.68,4.89亿,5115.94万,SH,601229,9.47,0.80,5.15,0.56,9.60,上海银行,否,0.36,否,1,False,-0.03,5.73,1364.06亿
267,659.26亿,-0.97,3.09,6.14亿,2.00亿,SH,601916,3.05,0.82,5.48,0.48,3.06,浙商银行,否,0.93,否,1,False,-0.03,5.66,840.42亿
268,1429.12亿,-1.47,4.11,23.92亿,5.92亿,SH,600016,4.01,0.89,4.13,0.31,4.03,民生银行,否,1.67,否,1,False,-0.06,5.65,1764.43亿
269,4321.45亿,-0.05,20.54,13.82亿,6780.51万,SH,601166,20.25,0.71,5.01,0.59,20.42,兴业银行,否,0.32,否,1,False,-0.01,5.59,4321.45亿
270,1167.07亿,-1.72,5.79,8.23亿,1.44亿,SH,601390,5.69,1.25,5.96,0.45,5.70,中国中铁,否,0.70,否,1,False,-0.10,5.54,1410.24亿
271,923.71亿,-1.59,8.15,4.37亿,5422.31万,SH,601186,8.02,1.13,5.09,0.41,8.03,中国铁建,否,0.47,否,1,False,-0.13,5.19,1090.44亿
272,2225.82亿,-0.43,11.58,9.44亿,8215.68万,SZ,000001,11.42,0.79,4.35,0.50,11.47,平安银行,否,0.42,否,0,False,-0.05,5.16,2225.86亿
273,2338.73亿,-1.39,5.75,14.40亿,2.53亿,SH,601668,5.65,1.34,3.85,0.49,5.66,中国建筑,否,0.61,否,1,False,-0.08,4.96,2338.73亿
274,1624.24亿,-0.85,3.54,10.70亿,3.06亿,SH,601818,3.47,0.77,4.20,0.42,3.50,光大银行,否,0.66,否,1,False,-0.03,4.94,2067.99亿
275,1217.84亿,-0.52,5.82,11.84亿,2.06亿,SH,601169,5.72,0.83,4.05,0.44,5.76,北京银行,否,0.97,否,1,False,-0.03,4.68,1217.84亿
276,1861.23亿,-0.74,14.91,10.09亿,6808.97万,SH,601919,14.76,0.82,6.52,0.99,14.76,中远海控,否,0.54,否,1,False,-0.11,4.59,2286.29亿
277,1063.26亿,-1.00,7.02,6.55亿,9466.52万,SH,600015,6.88,0.93,4.59,0.36,6.91,华夏银行,否,0.62,否,1,False,-0.07,4.05,1099.72亿
